Family,Genus,Species,Code,Trail,Urbanization,Abundance
Caryophyllaceae,Stellaria,graminea L.,Stelgram,Danmark,Urban,0
Caryophyllaceae,Stellaria,media L. ,Stelmedi,Danmark,Urban,3
Caryophyllaceae,Stellaria,palustris Retz. ,Stelpalu,Danmark,Urban,0
Crassulaceae,Sedum,acre L. ,Seduacre,Danmark,Urban,25
Convolvulaceae,Calystegia,sepium ,Calysepi,Danmark,Urban,0
Convolvulaceae,Convolvulus,arvensis L.,Convarve,Danmark,Urban,9
Droseraceae,Drosera,rotundifolia L. ,Drosrotu,Danmark,Urban,0
Ericaceae,Calluna,vulgaris,Callvulg,Danmark,Urban,0
Ericaceae,Pyrola,minor L. ,Pyromino,Danmark,Urban,0
Ericaceae,Pyrola,rotundifolia L. ,Pyrorotu,Danmark,Urban,0
Euphorbiaceae,Euphorbia ,helioscopia,Euphheli,Danmark,Urban,0
Fabaceae,Anthyllis,vulneraria,Anthvule,Danmark,Urban,0
Fabaceae,Medicago ,falcata L.,Medifalc,Danmark,Urban,3
Fabaceae,Medicago ,lupulina L.,Medilupu,Danmark,Urban,0
Fabaceae,Melilotus ,albus Medik.,Melialbu,Danmark,Urban,0
Fabaceae,Melilotus ,officinalis,Melioffi,Danmark,Urban,0
Fabaceae,Lotus,corniculatus L.,Lotucorn,Danmark,Urban,0
Fabaceae,Trifolium,arvense,Trifarve,Danmark,Urban,0
Fabaceae,Trifolium,medium,Trifmedi,Danmark,Urban,0
Fabaceae,Trifolium,montanum,Trifmont,Danmark,Urban,0
Fabaceae,Trifolium,pratense L. ,Trifprat,Danmark,Urban,27
Fabaceae,Trifolium,repens L.,Trifrepe,Danmark,Urban,27
Fabaceae,Lathyrus,linifolius,Lathlini,Danmark,Urban,0
Fabaceae,Lathyrus,pratensis L. ,Lathprat,Danmark,Urban,0
Fabaceae,Vicia,cracca L. ,Vicicrac,Danmark,Urban,0
Fabaceae,Vicia,sepium L.,Vicisepi,Danmark,Urban,0
Geraniaceae,Erodium,cicutarium,Erodcicu,Danmark,Urban,0
Geraniaceae,Geranium,Lucidum,GeraLuci,Danmark,Urban,0
Geraniaceae,Geranium,pusillum,Gerapusi,Danmark,Urban,0
Geraniaceae,Geranium,pyrenaicum,Gerapyre,Danmark,Urban,0
Geraniaceae,Geranium,robertianum L. ,Gerarobe,Danmark,Urban,2
Geraniaceae,Geranium,sanguineum,Gerasang,Danmark,Urban,0
Geraniaceae,Geranium,sylvaticum L. ,Gerasylv,Danmark,Urban,0
Hypericaceae,Hypericum,maculatum Crantz. ,Hypemacu,Danmark,Urban,0
Hypericaceae,Hypericum,montanum,Hypemont,Danmark,Urban,0
Hypericaceae,Hypericum,perforatum L.,Hypeperf,Danmark,Urban,6
Iridaceae,Iris,pseudacorus L. ,Irispseu,Danmark,Urban,0
Laminaceae,Lamium,album L.,Lamialbu,Danmark,Urban,0
Laminaceae,Lamium,purpureum L. ,Lamipurp,Danmark,Urban,0
Laminaceae,Mentha,arvensis L. ,Hypearve,Danmark,Urban,0
Laminaceae,Prunella,vulgaris L.,Prunvulg,Danmark,Urban,0
Laminaceae,Scutellaria,galericulata L. ,Scutgale,Danmark,Urban,0
Liliaceae,Lilium,martagon L. ,Lilimart,Danmark,Urban,0
Lythraceae,Lythrum,salicaria,Lythsali,Danmark,Urban,0
Myrsinaceae,Lysimachia,nummularia L.,Lysinumm,Danmark,Urban,0
Myrsinaceae,Lysimachia,punctata,Lysipunc,Danmark,Urban,0
Myrsinaceae,Lysimachia,vulgaris L. ,Lysivulg,Danmark,Urban,0
Nymphaeaceae,Nuphar,lutea,Nuphlute,Danmark,Urban,23
Onagraceae,Chamaenerion,angustifolium,Chamangu,Danmark,Urban,2
Onagraceae,Epilobium,palustre,Epilpalu,Danmark,Urban,0
Orchidaceae,Platanthera,chlorantha,Planchlo,Danmark,Urban,0
Orobanchaceae,Melampyrum,cristatum L.,Melacris,Danmark,Urban,0
Orobanchaceae,Melampyrum,nemorosum L.,Melanemo,Danmark,Urban,0
Orobanchaceae,Melampyrum,sylvaticum L. ,Melasylv,Danmark,Urban,0
Orobanchaceae,Melampyrum,pratense L.,Melaprat,Danmark,Urban,0
Orobanchaceae,Rhinanthus,angustifolius,Rhinangu,Danmark,Urban,0
Orobanchaceae,Rhinanthus,minor L. ,Rhinmino,Danmark,Urban,0
Papaveraceae,Chelidonium ,majus L.,Chelmaju,Danmark,Urban,0
Papaveraceae,Fumaria ,officinalis,Fumaoffi,Danmark,Urban,0
Plantaginaceae,Chaenorhinum,minus ,Chaeminu,Danmark,Urban,0
Plantaginaceae,Linaria ,vulgaris Mill.,Linavulg,Danmark,Urban,0
Plantaginaceae,Plantago,lanceolata L.,Planlanc,Danmark,Urban,2
Plantaginaceae,Plantago,major L.,Planmajo,Danmark,Urban,37
Plantaginaceae,Plantago,media,Planmadi,Danmark,Urban,0
Plantaginaceae,Veronica ,arvensis,Veroarve,Danmark,Urban,0
Plantaginaceae,Veronica ,chamaedrys L. ,Verocham,Danmark,Urban,2
Plantaginaceae,Veronica ,officinalis,Verooffi,Danmark,Urban,0
Plantaginaceae,Veronica ,verna,Verovern,Danmark,Urban,0
Polygonaceae,Persicaria,maculosa Gray. ,Persmacu,Danmark,Urban,0
Polygonaceae,Persicaria,vivipara,Persvivi,Danmark,Urban,0
Polygonaceae,Polygala,vulgaris,Polyvulg,Danmark,Urban,0
Polygonaceae,Rumex,acetosa L.,Rumeacet,Danmark,Urban,3
Polygonaceae,Rumex,acetosella L.,Rumeacla,Danmark,Urban,0
Polygonaceae,Rumex,crispus L.,Rumecris,Danmark,Urban,4
Polygonaceae,Rumex,longifolius L.,Rumelong,Danmark,Urban,0
Primulaceae,Trientalis,europaea,Triteuro,Danmark,Urban,0
Ranunculaceae,Ranunculus,acris L.,Ranuacri,Danmark,Urban,13
Ranunculaceae,Ranunculus,repens,Ranurepe,Danmark,Urban,0
Rosaceae,Agrimonia ,eupatoria L.,Agrieupa,Danmark,Urban,0
Rosaceae,Alchemilla,vulgaris L.,Alchvulg,Danmark,Urban,2
Rosaceae,Argentina,anserina L. ,Argeanse,Danmark,Urban,0
Rosaceae,Filipendula,ulmaria L.,Filiulma,Danmark,Urban,6
Rosaceae,Filipendula,vulgaris,Filivilg,Danmark,Urban,0
Rosaceae,Fragaria ,vesca L. ,Fragvesc,Danmark,Urban,0
Rosaceae,Geum,rivale L.,Geumriva,Danmark,Urban,0
Rosaceae,Geum,urbanum L.,Geumurba,Danmark,Urban,3
Rosaceae,Potentilla,anserina,Poteanse,Danmark,Urban,0
Rosaceae,Potentilla,argentea L.,Potearge,Danmark,Urban,0
Rosaceae,Potentilla,erecta,Poteerec,Danmark,Urban,0
Rosaceae,Potentilla,palustris,Potepalu,Danmark,Urban,0
Rosaceae,Potentilla,reptans L.,Poterept,Danmark,Urban,4
Rosaceae,Rosa,dumalis Bechst.,Rosaduma,Danmark,Urban,0
Rosaceae,Rosa,rugosa Thunberg.,Rosarugo,Danmark,Urban,0
Rubiaceae,Galium,album Mill. ,Galialbu,Danmark,Urban,13
Rubiaceae,Galium,boreale L.,Galibore,Danmark,Urban,0
Rubiaceae,Galium,palustre,Galipalu,Danmark,Urban,0
Rubiaceae,Galium,uliginosum,Galiulig,Danmark,Urban,0
Rubiaceae,Galium,verum L.,Galiveru,Danmark,Urban,6
Scrophulariaceae,Verbascum ,thapsus,Verbthap,Danmark,Urban,0
Scrophulariaceae,Veronica ,officinalis L.,Verooffi,Danmark,Urban,0
Urticaceae,Urtica,dioica L. ,Urtidioi,Danmark,Urban,3
Violaceae,Viola,arvensis,Violarve,Danmark,Urban,0
Violaceae,Viola,biflora L. ,Violbifl,Danmark,Urban,0
Adoxaceae,Sambucus,nigra L. ,Sambnigr,Danmark,Rural,0
Apiaceae,Aegopodium ,podagraria L.,Aegopoda,Danmark,Rural,0
Apiaceae,Anthriscus,sylvestris L. ,Anthsylv,Danmark,Rural,0
Apiaceae,Carum ,carvi L. ,Carucarv,Danmark,Rural,1
Apiaceae,Daucus,carota sativus,Dauccaro,Danmark,Rural,0
Apiaceae,Pastinaca,sativa L.,Pastsati,Danmark,Rural,0
Apiaceae,Peucedanum ,palustre ,Peucpalu,Danmark,Rural,0
Asteraceae,Achillea,millefolium L.,Achimill,Danmark,Rural,9
Asteraceae,Anthemis ,tinctoria,Anthtinc,Danmark,Rural,0
Asteraceae,Arctium ,tomentosum,Arcttome,Danmark,Rural,0
Asteraceae,Arnoseris,minima,Artevulg,Danmark,Rural,0
Asteraceae,Artemisa,vulgaris L.,Artevulg,Danmark,Rural,0
Asteraceae,Bellis ,perennis L.,Bellpere,Danmark,Rural,0
Asteraceae,Carduus,acanthoides L.,Cardacan,Danmark,Rural,0
Asteraceae,Centaurea,jacea L.,Centjace,Danmark,Rural,0
Asteraceae,Cirsium ,arvense,Cirsarve,Danmark,Rural,7
Asteraceae,Crepis,praemorsa,Crepprae,Danmark,Rural,0
Asteraceae,Crepis,tectorum,Creptect,Danmark,Rural,0
Asteraceae,Hieracium,murorum L. ,Hiermuro,Danmark,Rural,0
Asteraceae,Hieracium,pilosella L.,Hiercana,Danmark,Rural,0
Asteraceae,Hieracium,umbellatum,Hierumbe,Danmark,Rural,1
Asteraceae,Hieracium,Vulgata,Hiervulg,Danmark,Rural,17
Asteraceae,Lactuca,muralis,Lactmura,Danmark,Rural,2
Asteraceae,Lapsana ,comunnis,Lapscomu,Danmark,Rural,0
Asteraceae,Leontodon,hispidus,Leonhisp,Danmark,Rural,0
Asteraceae,Leucanthemum,vulgare Lam.,Leucvulg,Danmark,Rural,12
Asteraceae,Matricaria ,discoides DC.,Matrdisc,Danmark,Rural,0
Asteraceae,Matricaria ,matricarioides,Matrmatr,Danmark,Rural,1
Asteraceae,Onopordum,acanthium L.,Onopacan,Danmark,Rural,4
Asteraceae,Picris,hieracioides,Picrhier,Danmark,Rural,0
Asteraceae,Pilosella,officinarum ,Pilooffi,Danmark,Rural,0
Asteraceae,Scorzoneroides,autumnalis L.,Scorautu,Danmark,Rural,0
Asteraceae,Senecio,vulgaris ,Senevulg,Danmark,Rural,0
Asteraceae,Sonchus,arvensis,Soncarve,Danmark,Rural,0
Asteraceae,Tanacetum,vulgare L.,Tanavulg,Danmark,Rural,0
Asteraceae,Taraxacum ,officinale,Taraoffi,Danmark,Rural,0
Asteraceae,Tragopogon,pratensis L.,Tragprat,Danmark,Rural,3
Asteraceae,Tripleurospermum,perforatum ,Tripperf,Danmark,Rural,8
Boraginaceae,Echium,vulgare,Echivulg,Danmark,Rural,0
Boraginaceae,Myosotis,laxa,Myoslaxa,Danmark,Rural,0
Boraginaceae,Myosotis,ramosissima,Myoramo,Danmark,Rural,0
Boraginaceae,Myosotis,Scorpioides,Myosscor,Danmark,Rural,0
Boraginaceae,Myosotis,sylvatica,Myossylv,Danmark,Rural,0
Boraginaceae,Symphytum, x uplandicum,Sympupla,Danmark,Rural,1
Brassicaceae,Alliaria,petiolata,Allipeti,Danmark,Rural,0
Brassicaceae,Bunias,orientalis L.,Buniorie,Danmark,Rural,0
Brassicaceae,Capsela ,bursa-pastoris L. ,Capsburs,Danmark,Rural,0
Brassicaceae,Cardamine,pratensis,Cardprat,Danmark,Rural,0
Brassicaceae,Sinapis,arvensis,Sinaarve,Danmark,Rural,0
Brassicaceae,Sisymbrium,altissimum L. ,Sisyalti,Danmark,Rural,0
Brassicaceae,Thlaspi ,arvense L.,Thlaarve,Danmark,Rural,0
Campanulaceae,Campanula,persicifolia L.,Camppers,Danmark,Rural,1
Campanulaceae,Campanula,rotundifolia,Camprotu,Danmark,Rural,5
Campanulaceae,Campanula,trachelium L. ,Camptrac,Danmark,Rural,0
Caryophyllaceae,Cerastium ,fontanum Baumg.,Cerafont,Danmark,Rural,0
Caryophyllaceae,Dianthus ,deltoides,Diandelt,Danmark,Rural,0
Caryophyllaceae,Scleranthus ,annuus L.,Scleannu,Danmark,Rural,0
Caryophyllaceae,Silene,nutans L.,Silenuta,Danmark,Rural,0
Caryophyllaceae,Stellaria,alsine,Stelalsi,Danmark,Rural,0
Caryophyllaceae,Stellaria,graminea L.,Stelgram,Danmark,Rural,7
Caryophyllaceae,Stellaria,media L. ,Stelmedi,Danmark,Rural,0
Caryophyllaceae,Stellaria,palustris Retz. ,Stelpalu,Danmark,Rural,0
Crassulaceae,Sedum,acre L. ,Seduacre,Danmark,Rural,0
Convolvulaceae,Calystegia,sepium ,Calysepi,Danmark,Rural,0
Convolvulaceae,Convolvulus,arvensis L.,Convarve,Danmark,Rural,0
Droseraceae,Drosera,rotundifolia L. ,Drosrotu,Danmark,Rural,0
Ericaceae,Calluna,vulgaris,Callvulg,Danmark,Rural,0
Ericaceae,Pyrola,minor L. ,Pyromino,Danmark,Rural,0
Ericaceae,Pyrola,rotundifolia L. ,Pyrorotu,Danmark,Rural,0
Euphorbiaceae,Euphorbia ,helioscopia,Euphheli,Danmark,Rural,0
Fabaceae,Anthyllis,vulneraria,Anthvule,Danmark,Rural,0
Fabaceae,Medicago ,falcata L.,Medifalc,Danmark,Rural,0
Fabaceae,Medicago ,lupulina L.,Medilupu,Danmark,Rural,3
Fabaceae,Melilotus ,albus Medik.,Melialbu,Danmark,Rural,0
Fabaceae,Melilotus ,officinalis,Melioffi,Danmark,Rural,0
Fabaceae,Lotus,corniculatus L.,Lotucorn,Danmark,Rural,23
Fabaceae,Trifolium,arvense,Trifarve,Danmark,Rural,0
Fabaceae,Trifolium,medium,Trifmedi,Danmark,Rural,1
Fabaceae,Trifolium,montanum,Trifmont,Danmark,Rural,0
Fabaceae,Trifolium,pratense L. ,Trifprat,Danmark,Rural,53
Fabaceae,Trifolium,repens L.,Trifrepe,Danmark,Rural,43
Fabaceae,Lathyrus,linifolius,Lathlini,Danmark,Rural,0
Fabaceae,Lathyrus,pratensis L. ,Lathprat,Danmark,Rural,25
Fabaceae,Vicia,cracca L. ,Vicicrac,Danmark,Rural,17
Fabaceae,Vicia,sepium L.,Vicisepi,Danmark,Rural,0
Geraniaceae,Erodium,cicutarium,Erodcicu,Danmark,Rural,0
Geraniaceae,Geranium,Lucidum,GeraLuci,Danmark,Rural,0
Geraniaceae,Geranium,pusillum,Gerapusi,Danmark,Rural,0
Geraniaceae,Geranium,pyrenaicum,Gerapyre,Danmark,Rural,0
Geraniaceae,Geranium,robertianum L. ,Gerarobe,Danmark,Rural,0
Geraniaceae,Geranium,sanguineum,Gerasang,Danmark,Rural,0
Geraniaceae,Geranium,sylvaticum L. ,Gerasylv,Danmark,Rural,3
Hypericaceae,Hypericum,maculatum Crantz. ,Hypemacu,Danmark,Rural,1
Hypericaceae,Hypericum,montanum,Hypemont,Danmark,Rural,0
Hypericaceae,Hypericum,perforatum L.,Hypeperf,Danmark,Rural,3
Iridaceae,Iris,pseudacorus L. ,Irispseu,Danmark,Rural,0
Laminaceae,Lamium,album L.,Lamialbu,Danmark,Rural,0
Laminaceae,Lamium,purpureum L. ,Lamipurp,Danmark,Rural,0
Laminaceae,Mentha,arvensis L. ,Hypearve,Danmark,Rural,0
Laminaceae,Prunella,vulgaris L.,Prunvulg,Danmark,Rural,3
Laminaceae,Scutellaria,galericulata L. ,Scutgale,Danmark,Rural,0
Liliaceae,Lilium,martagon L. ,Lilimart,Danmark,Rural,0
Lythraceae,Lythrum,salicaria,Lythsali,Danmark,Rural,0
Myrsinaceae,Lysimachia,nummularia L.,Lysinumm,Danmark,Rural,0
Myrsinaceae,Lysimachia,punctata,Lysipunc,Danmark,Rural,0
Myrsinaceae,Lysimachia,vulgaris L. ,Lysivulg,Danmark,Rural,0
Nymphaeaceae,Nuphar,lutea,Nuphlute,Danmark,Rural,0
Onagraceae,Chamaenerion,angustifolium,Chamangu,Danmark,Rural,1
Onagraceae,Epilobium,palustre,Epilpalu,Danmark,Rural,0
Orchidaceae,Platanthera,chlorantha,Planchlo,Danmark,Rural,0
Orobanchaceae,Melampyrum,cristatum L.,Melacris,Danmark,Rural,0
Orobanchaceae,Melampyrum,nemorosum L.,Melanemo,Danmark,Rural,0
Orobanchaceae,Melampyrum,sylvaticum L. ,Melasylv,Danmark,Rural,0
Orobanchaceae,Melampyrum,pratense L.,Melaprat,Danmark,Rural,3
Orobanchaceae,Rhinanthus,angustifolius,Rhinangu,Danmark,Rural,0
Orobanchaceae,Rhinanthus,minor L. ,Rhinmino,Danmark,Rural,0
Papaveraceae,Chelidonium ,majus L.,Chelmaju,Danmark,Rural,0
Papaveraceae,Fumaria ,officinalis,Fumaoffi,Danmark,Rural,0
Plantaginaceae,Chaenorhinum,minus ,Chaeminu,Danmark,Rural,0
Plantaginaceae,Linaria ,vulgaris Mill.,Linavulg,Danmark,Rural,2
Plantaginaceae,Plantago,lanceolata L.,Planlanc,Danmark,Rural,1
Plantaginaceae,Plantago,major L.,Planmajo,Danmark,Rural,27
Plantaginaceae,Plantago,media,Planmadi,Danmark,Rural,0
Plantaginaceae,Veronica ,arvensis,Veroarve,Danmark,Rural,0
Plantaginaceae,Veronica ,chamaedrys L. ,Verocham,Danmark,Rural,0
Plantaginaceae,Veronica ,officinalis,Verooffi,Danmark,Rural,0
Plantaginaceae,Veronica ,verna,Verovern,Danmark,Rural,0
Polygonaceae,Persicaria,maculosa Gray. ,Persmacu,Danmark,Rural,0
Polygonaceae,Persicaria,vivipara,Persvivi,Danmark,Rural,0
Polygonaceae,Polygala,vulgaris,Polyvulg,Danmark,Rural,0
Polygonaceae,Rumex,acetosa L.,Rumeacet,Danmark,Rural,0
Polygonaceae,Rumex,acetosella L.,Rumeacla,Danmark,Rural,0
Polygonaceae,Rumex,crispus L.,Rumecris,Danmark,Rural,2
Polygonaceae,Rumex,longifolius L.,Rumelong,Danmark,Rural,0
Primulaceae,Trientalis,europaea,Triteuro,Danmark,Rural,0
Ranunculaceae,Ranunculus,acris L.,Ranuacri,Danmark,Rural,7
Ranunculaceae,Ranunculus,repens,Ranurepe,Danmark,Rural,0
Rosaceae,Agrimonia ,eupatoria L.,Agrieupa,Danmark,Rural,0
Rosaceae,Alchemilla,vulgaris L.,Alchvulg,Danmark,Rural,16
Rosaceae,Argentina,anserina L. ,Argeanse,Danmark,Rural,0
Rosaceae,Filipendula,ulmaria L.,Filiulma,Danmark,Rural,8
Rosaceae,Filipendula,vulgaris,Filivilg,Danmark,Rural,5
Rosaceae,Fragaria ,vesca L. ,Fragvesc,Danmark,Rural,0
Rosaceae,Geum,rivale L.,Geumriva,Danmark,Rural,0
Rosaceae,Geum,urbanum L.,Geumurba,Danmark,Rural,0
Rosaceae,Potentilla,anserina,Poteanse,Danmark,Rural,1
Rosaceae,Potentilla,argentea L.,Potearge,Danmark,Rural,0
Rosaceae,Potentilla,erecta,Poteerec,Danmark,Rural,0
Rosaceae,Potentilla,palustris,Potepalu,Danmark,Rural,0
Rosaceae,Potentilla,reptans L.,Poterept,Danmark,Rural,15
Rosaceae,Rosa,dumalis Bechst.,Rosaduma,Danmark,Rural,0
Rosaceae,Rosa,rugosa Thunberg.,Rosarugo,Danmark,Rural,0
Rubiaceae,Galium,album Mill. ,Galialbu,Danmark,Rural,21
Rubiaceae,Galium,boreale L.,Galibore,Danmark,Rural,3
Rubiaceae,Galium,palustre,Galipalu,Danmark,Rural,0
Rubiaceae,Galium,uliginosum,Galiulig,Danmark,Rural,0
Rubiaceae,Galium,verum L.,Galiveru,Danmark,Rural,17
Scrophulariaceae,Verbascum ,thapsus,Verbthap,Danmark,Rural,0
Scrophulariaceae,Veronica ,officinalis L.,Verooffi,Danmark,Rural,0
Urticaceae,Urtica,dioica L. ,Urtidioi,Danmark,Rural,3
Violaceae,Viola,arvensis,Violarve,Danmark,Rural,0
Violaceae,Viola,biflora L. ,Violbifl,Danmark,Rural,0
Adoxaceae,Sambucus,nigra L. ,Sambnigr,GamlaUppsala,Urban,0
Apiaceae,Aegopodium ,podagraria L.,Aegopoda,GamlaUppsala,Urban,13
Apiaceae,Anthriscus,sylvestris L. ,Anthsylv,GamlaUppsala,Urban,1
Apiaceae,Carum ,carvi L. ,Carucarv,GamlaUppsala,Urban,0
Apiaceae,Daucus,carota sativus,Dauccaro,GamlaUppsala,Urban,0
Apiaceae,Pastinaca,sativa L.,Pastsati,GamlaUppsala,Urban,0
Apiaceae,Peucedanum ,palustre ,Peucpalu,GamlaUppsala,Urban,0
Asteraceae,Achillea,millefolium L.,Achimill,GamlaUppsala,Urban,11
Asteraceae,Anthemis ,tinctoria,Anthtinc,GamlaUppsala,Urban,0
Asteraceae,Arctium ,tomentosum,Arcttome,GamlaUppsala,Urban,4
Asteraceae,Arnoseris,minima,Artevulg,GamlaUppsala,Urban,0
Asteraceae,Artemisa,vulgaris L.,Artevulg,GamlaUppsala,Urban,0
Asteraceae,Bellis ,perennis L.,Bellpere,GamlaUppsala,Urban,10
Asteraceae,Carduus,acanthoides L.,Cardacan,GamlaUppsala,Urban,0
Asteraceae,Centaurea,jacea L.,Centjace,GamlaUppsala,Urban,0
Asteraceae,Cirsium ,arvense,Cirsarve,GamlaUppsala,Urban,9
Asteraceae,Crepis,praemorsa,Crepprae,GamlaUppsala,Urban,0
Asteraceae,Crepis,tectorum,Creptect,GamlaUppsala,Urban,0
Asteraceae,Hieracium,murorum L. ,Hiermuro,GamlaUppsala,Urban,0
Asteraceae,Hieracium,pilosella L.,Hiercana,GamlaUppsala,Urban,0
Asteraceae,Hieracium,umbellatum,Hierumbe,GamlaUppsala,Urban,0
Asteraceae,Hieracium,Vulgata,Hiervulg,GamlaUppsala,Urban,1
Asteraceae,Lactuca,muralis,Lactmura,GamlaUppsala,Urban,2
Asteraceae,Lapsana ,comunnis,Lapscomu,GamlaUppsala,Urban,0
Asteraceae,Leontodon,hispidus,Leonhisp,GamlaUppsala,Urban,0
Asteraceae,Leucanthemum,vulgare Lam.,Leucvulg,GamlaUppsala,Urban,3
Asteraceae,Matricaria ,discoides DC.,Matrdisc,GamlaUppsala,Urban,0
Asteraceae,Matricaria ,matricarioides,Matrmatr,GamlaUppsala,Urban,6
Asteraceae,Onopordum,acanthium L.,Onopacan,GamlaUppsala,Urban,0
Asteraceae,Picris,hieracioides,Picrhier,GamlaUppsala,Urban,0
Asteraceae,Pilosella,officinarum ,Pilooffi,GamlaUppsala,Urban,0
Asteraceae,Scorzoneroides,autumnalis L.,Scorautu,GamlaUppsala,Urban,0
Asteraceae,Senecio,vulgaris ,Senevulg,GamlaUppsala,Urban,0
Asteraceae,Sonchus,arvensis,Soncarve,GamlaUppsala,Urban,0
Asteraceae,Tanacetum,vulgare L.,Tanavulg,GamlaUppsala,Urban,9
Asteraceae,Taraxacum ,officinale,Taraoffi,GamlaUppsala,Urban,7
Asteraceae,Tragopogon,pratensis L.,Tragprat,GamlaUppsala,Urban,0
Asteraceae,Tripleurospermum,perforatum ,Tripperf,GamlaUppsala,Urban,6
Boraginaceae,Echium,vulgare,Echivulg,GamlaUppsala,Urban,0
Boraginaceae,Myosotis,laxa,Myoslaxa,GamlaUppsala,Urban,0
Boraginaceae,Myosotis,ramosissima,Myoramo,GamlaUppsala,Urban,0
Boraginaceae,Myosotis,Scorpioides,Myosscor,GamlaUppsala,Urban,1
Boraginaceae,Myosotis,sylvatica,Myossylv,GamlaUppsala,Urban,3
Boraginaceae,Symphytum, x uplandicum,Sympupla,GamlaUppsala,Urban,28
