Herbatio,Micro-habitat,Genus,species,notes
DANENSIS,3 Fluvius,Nymphaea,lutea,
DANENSIS,3 Fluvius,Butomus,umbellatus,
DANENSIS,3 Fluvius,Sagittaria,sagittifolia,
DANENSIS,3 Fluvius,Sperganium,erectum,
DANENSIS,3 Fluvius,Conferva,reticulata,
DANENSIS,3 Fluvius,Spongia,fluviatilis,
DANENSIS,4 Templo Danemarkensi,Avena,fatua,
DANENSIS,4 Templo Danemarkensi,Aegopodium,Podagria,
DANENSIS,4 Templo Danemarkensi,Daucus,Carota,
DANENSIS,5 Lucus Nantunensis,Cistus,Helianthemum,
DANENSIS,5 Lucus Nantunensis,Melampyrum,nemorosum,
DANENSIS,5 Lucus Nantunensis,Melampyrum,sylvaticum,
DANENSIS,5 Lucus Nantunensis,Anthyllis,Vulneraria,
DANENSIS,5 Lucus Nantunensis,Carex,hirta,
DANENSIS,5 Lucus Nantunensis,Carex,muricata,
ANTIQUAE UPSALIENSIS,1 SEPTA,Chenopodium,polyspermum,
ANTIQUAE UPSALIENSIS,1 SEPTA,Ethusa,Cynapium,
ANTIQUAE UPSALIENSIS,1 SEPTA,Euphorbia,helioscopia,
ANTIQUAE UPSALIENSIS,1 SEPTA,Euphorbia,Peplis,
ANTIQUAE UPSALIENSIS,1 SEPTA,Ranunculus,repens,
ANTIQUAE UPSALIENSIS,1 SEPTA,Erysimum,Irio,
ANTIQUAE UPSALIENSIS,1 SEPTA,Lamium,purpureum,
ANTIQUAE UPSALIENSIS,1 SEPTA,Bidens,tripartitus,
ANTIQUAE UPSALIENSIS,1 SEPTA,Sonchus,oleraceus laevisasper,
ANTIQUAE UPSALIENSIS,2 Pratumbarbyense,Serratula,tinctoria,
ANTIQUAE UPSALIENSIS,2 Pratumbarbyense,Epilobium,palustre,
ANTIQUAE UPSALIENSIS,3 Rupes,Bryum,pulvinatum,
ANTIQUAE UPSALIENSIS,3 Rupes,Lichen,olivaceus,
ANTIQUAE UPSALIENSIS,3 Rupes,Lichen,fragilis,
ANTIQUAE UPSALIENSIS,3 Rupes,Lichen,sangvinarius,
ANTIQUAE UPSALIENSIS,3 Rupes,Lichen,stygius,
ANTIQUAE UPSALIENSIS,3 Rupes,Lichen,lanatus,
ANTIQUAE UPSALIENSIS,3 Rupes,Lichen,atro-virens,
ANTIQUAE UPSALIENSIS,3 Rupes,Lichen,falumensis,
ANTIQUAE UPSALIENSIS,4 Tumuli Upsaliensis,Anemone,vernalis,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Veronica,scutellata,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Utricularia,vulgaris,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Utricularia,minor,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Eriophorum,alpinum,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Cicuta,virosa,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Selinum,palustre,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Drosera,longifolia,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Convallaria,bifolia,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Juncus,effusus,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Scheuchzeria,palustris,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Pedicularis,SceptCarolin,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Carex,limosa,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Carex,panicea,
ANTIQUAE UPSALIENSIS,5 Wittulsbergensis,Carduus,palustris,
WAXALENSIS,1 Via Upsaliensis,Solanum,Dulcamara,
WAXALENSIS,1 Via Upsaliensis,Polygonium,Hydropiper,
WAXALENSIS,1 Via Upsaliensis,Erysimum,officinale,
WAXALENSIS,1 Via Upsaliensis,Lepidium,ruderale,
WAXALENSIS,1 Via Upsaliensis,Antirrhinum,Linaria,
WAXALENSIS,1 Via Upsaliensis,Carduus,lanceolatus,
WAXALENSIS,2 Agri Waxalenses,Bromus,hordeaceus,
WAXALENSIS,2 Agri Waxalenses,Athamanta,Libanotis,
WAXALENSIS,2 Agri Waxalenses,Silene,nutans,
WAXALENSIS,2 Agri Waxalenses,Tillea,aquatica,
WAXALENSIS,2 Agri Waxalenses,Erysimum,Alliaria,
WAXALENSIS,2 Agri Waxalenses,Hieracium,dibium,
WAXALENSIS,2 Agri Waxalenses,Hieracium,Auricula,
WAXALENSIS,2 Agri Waxalenses,Medicago,falcata,
WAXALENSIS,2 Agri Waxalenses,Medicago,lupulina,
WAXALENSIS,2 Agri Waxalenses,Trifolium,montanum,
WAXALENSIS,2 Agri Waxalenses,Trifolium,arvense,
WAXALENSIS,2 Agri Waxalenses,Onopordum,Acanthium,
WAXALENSIS,2 Agri Waxalenses,Centaurea,Scabiosa,
WAXALENSIS,3 Prata Ekensia & Fallensia,Scabiosam,Succisam,
WAXALENSIS,3 Prata Ekensia & Fallensia,Hypnum,alopecurum,
WAXALENSIS,4 Falla,Scabiosam,arvensem,
WAXALENSIS,5 Tórnby,Buphtalmo,tinctorio,
WAXALENSIS,6 Lucus Tórnbyensis,,,
HUSBYENSIS,1 Luthagen,Ranunculus,sceleratus,
HUSBYENSIS,1 Luthagen,Lathyrus,palustris,
HUSBYENSIS,1 Luthagen,Vicia,sativa,
HUSBYENSIS,1 Luthagen,Myosotis,palustris,
HUSBYENSIS,1 Luthagen,Mentha,arvensis,
HUSBYENSIS,1 Luthagen,Vicia,sepium,
HUSBYENSIS,2 Ripa fluvii UPSALIENSIS,Lycopus,europaeus,
HUSBYENSIS,2 Ripa fluvii UPSALIENSIS,Limosella,aquatica,
HUSBYENSIS,2 Ripa fluvii UPSALIENSIS,Jungermannia,pusilla,
HUSBYENSIS,2 Ripa fluvii UPSALIENSIS,Fascum,acaulon,
HUSBYENSIS,2 Ripa fluvii UPSALIENSIS,Ranunculus,reptans,
HUSBYENSIS,2 Ripa fluvii UPSALIENSIS,Elatine,Hydropiper,
HUSBYENSIS,2 Ripa fluvii UPSALIENSIS,Riccia,crystallina,
HUSBYENSIS,3 Pratum Saltpetterángen,Pedicularis,sylivatica,
HUSBYENSIS,3 Pratum Saltpetterángen,Orchis,latifolia,
HUSBYENSIS,3 Pratum Saltpetterángen,Montia,fontana,
HUSBYENSIS,4 Prata,Tanactum,vulgare,
HUSBYENSIS,4 Prata,Comarum,palustre,
HUSBYENSIS,5 Nemus Regium,Linnaeum,horcalem,
HUSBYENSIS,5 Nemus Regium,Monotropam,Hypopithyn,
HUSBYENSIS,6 Populetum Hasselbyense,,,
HUSBYENSIS,7 Templi Borfensis,Ophrys,Monorchis,
HUSBYENSIS,8 Praedium Kiattinge,Silenem,rupestrem,
HUSBYENSIS,9 Pratum Nyflense,Aster,salicinus,
HUSBYENSIS,10 Praedium Husby,Sedum,album,
HUSBYENSIS,10 Praedium Husby,Sedum,sexangulare,
HUSBYENSIS,10 Praedium Husby,Sedum,annuum,
HUSBYENSIS,10 Praedium Husby,Linum,catharticum,
HUSBYENSIS,10 Praedium Husby,Dianthus,deltoides,
HUSBYENSIS,10 Praedium Husby,Erigeron,acre,
HUSBYENSIS,10 Praedium Husby,Angelica,sylvestris,
HUSBYENSIS,10 Praedium Husby,Polygala,vulgaris,
JUMKILENSIS,1 Sylva Deserta,Arundo,calamogrostis,
JUMKILENSIS,1 Sylva Deserta,Scirpus,sylvaticus,
JUMKILENSIS,1 Sylva Deserta,Campanula,Cervicaria,
JUMKILENSIS,1 Sylva Deserta,Calla,palustris,
JUMKILENSIS,1 Sylva Deserta,Carduus,heterophyllus,
JUMKILENSIS,1 Sylva Deserta,Hieracium,paludosum,
JUMKILENSIS,1 Sylva Deserta,Gnaphalium,sylvaticum,
JUMKILENSIS,1 Sylva Deserta,Ranunculus,Lingva,
JUMKILENSIS,1 Sylva Deserta,Ranunculus,polyanthemus,
JUMKILENSIS,1 Sylva Deserta,Rubus,caesius,
JUMKILENSIS,1 Sylva Deserta,Equisetum,limosum,
JUMKILENSIS,1 Sylva Deserta,Equisetum,sylvaticum,
JUMKILENSIS,1 Sylva Deserta,Lycopodium,annotinum,
JUMKILENSIS,2 Palus Jumkilensis,Schoenus,albus,
JUMKILENSIS,2 Palus Jumkilensis,Hypnum,scorpioides,
JUMKILENSIS,2 Palus Jumkilensis,Splachnum,ampullaceum,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Myosotis,Lappula,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Chenopodium,urbicum,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Chenopodium,Bonus henricus,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Hyoscyamus,niger,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Cynoglossum,officinale,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Geranium,cicutarium,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Malva,rotundifolia,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Antirrhinum,minus,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Leonurus,Cardiaca,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Marubium,vulgare,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Artemisia,Absinthium,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Senecio,vulgaris,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Anthemis,Cotula,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Urtica,urens,
JUMKILENSIS,3 Plateae Urbis Upsaliensis,Urtica,dioica,
