"","final_gen_sp","gen_sp_us","Herbatio_us","Presence_us","gen_sp_lin","Herbatio_lin","Micro.habitat","Presence_lin","Family.y","Flower_morphology","Flower_colour","annual_perennial","Nitrogen_use","compatibility","origin"
"822","Eupatorium cannabinum","Eupatorium cannabinum","Gottsunda",0,NA,NA,NA,0,"Asteraceae","O","light pink","p",7,NA,"native"
"823","Euphorbia helioscopia","Euphorbia helioscopia","Ultuna",0,NA,NA,NA,0,"Euphorbiaceae","O","green","a",6,NA,"native"
"824","Euphorbia helioscopia","Euphorbia helioscopia","GamlaUppsala",1,"Euphorbia helioscopia","GamlaUppsala","1 SEPTA",1,"Euphorbiaceae","O","green","a",6,NA,"native"
"825","Euphorbia helioscopia","Euphorbia helioscopia","Vaksala",0,NA,NA,NA,0,"Euphorbiaceae","O","green","a",6,NA,"native"
"826","Euphorbia helioscopia","Euphorbia helioscopia","Haga",1,NA,NA,NA,0,"Euphorbiaceae","O","green","a",6,NA,"native"
"827","Euphorbia helioscopia","Euphorbia helioscopia","Gottsunda",0,NA,NA,NA,0,"Euphorbiaceae","O","green","a",6,NA,"native"
"828","Euphorbia helioscopia","Euphorbia helioscopia","Jumkil",0,NA,NA,NA,0,"Euphorbiaceae","O","green","a",6,NA,"native"
"829","Euphorbia helioscopia","Euphorbia helioscopia","Husby",0,NA,NA,NA,0,"Euphorbiaceae","O","green","a",6,NA,"native"
"830","Euphorbia helioscopia","Euphorbia helioscopia","Danmark",0,NA,NA,NA,0,"Euphorbiaceae","O","green","a",6,NA,"native"
"831","Euphorbia peplis",NA,NA,0,"Euphorbia Peplis","GamlaUppsala","1 SEPTA",1,"Euphorbiaceae","O","green","a",5,NA,"not_in_fe"
"832","Euphrasia odontites",NA,NA,0,"Euphrasia Odontites","Haga","7 Haga",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"833","Euphrasia officinalis","Euphrasia  officinalis ","Jumkil",0,NA,NA,NA,0,"Orobanchaceae","T","white","a",3,NA,"not_in_fe"
"834","Euphrasia officinalis","Euphrasia  officinalis ","Vaksala",0,NA,NA,NA,0,"Orobanchaceae","T","white","a",3,NA,"not_in_fe"
"835","Euphrasia officinalis","Euphrasia  officinalis ","Ultuna",0,NA,NA,NA,0,"Orobanchaceae","T","white","a",3,NA,"not_in_fe"
"836","Euphrasia officinalis","Euphrasia  officinalis ","Gottsunda",0,"Euphrasia officinalis","Gottsunda","4 Pratum Norrbyense",1,"Orobanchaceae","T","white","a",3,NA,"not_in_fe"
"837","Euphrasia officinalis","Euphrasia  officinalis ","Danmark",0,NA,NA,NA,0,"Orobanchaceae","T","white","a",3,NA,"not_in_fe"
"838","Euphrasia officinalis","Euphrasia  officinalis ","Husby",0,NA,NA,NA,0,"Orobanchaceae","T","white","a",3,NA,"not_in_fe"
"839","Euphrasia officinalis","Euphrasia  officinalis ","Haga",0,NA,NA,NA,0,"Orobanchaceae","T","white","a",3,NA,"not_in_fe"
"840","Euphrasia officinalis","Euphrasia  officinalis ","GamlaUppsala",1,NA,NA,NA,0,"Orobanchaceae","T","white","a",3,NA,"not_in_fe"
"841","Festuca fluitans",NA,NA,0,"Equisetum arvense","Danmark","1 Pratum Regium",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"842","Festuca ovina",NA,NA,0,"Festua ovina","Ultuna","4 Campus Polonicus",1,NA,NA,NA,NA,NA,NA,"native"
"843","Festuca rubra",NA,NA,0,"Glaux maritima","Danmark","1 Pratum Regium",1,NA,NA,NA,NA,NA,NA,"native"
"844","Ficaria verna","Ficaria verna","Gottsunda",1,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"845","Ficaria verna","Ficaria verna","Jumkil",0,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"846","Ficaria verna","Ficaria verna","GamlaUppsala",0,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"847","Ficaria verna","Ficaria verna","Danmark",1,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"848","Ficaria verna","Ficaria verna","Vaksala",1,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"849","Ficaria verna","Ficaria verna","Ultuna",1,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"850","Ficaria verna","Ficaria verna","Husby",1,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"851","Ficaria verna","Ficaria verna","Haga",1,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"852","Filipendula ulmaria","Filipendula ulmaria L.","Haga",2,NA,NA,NA,0,"Rosaceae","O","white","p",5,NA,"native"
"853","Filipendula ulmaria","Filipendula ulmaria L.","GamlaUppsala",2,NA,NA,NA,0,"Rosaceae","O","white","p",5,NA,"native"
"854","Filipendula ulmaria","Filipendula ulmaria L.","Vaksala",2,NA,NA,NA,0,"Rosaceae","O","white","p",5,NA,"native"
"855","Filipendula ulmaria","Filipendula ulmaria L.","Jumkil",2,NA,NA,NA,0,"Rosaceae","O","white","p",5,NA,"native"
"856","Filipendula ulmaria","Filipendula ulmaria L.","Gottsunda",2,NA,NA,NA,0,"Rosaceae","O","white","p",5,NA,"native"
"857","Filipendula ulmaria","Filipendula ulmaria L.","Husby",2,NA,NA,NA,0,"Rosaceae","O","white","p",5,NA,"native"
"858","Filipendula ulmaria","Filipendula ulmaria L.","Ultuna",2,NA,NA,NA,0,"Rosaceae","O","white","p",5,NA,"native"
"859","Filipendula ulmaria","Filipendula ulmaria L.","Danmark",2,NA,NA,NA,0,"Rosaceae","O","white","p",5,NA,"native"
"860","Filipendula vulgaris","Filipendula vulgaris Moench.","Vaksala",2,NA,NA,NA,0,"Rosaceae","O","white","p",2,NA,"native"
"861","Filipendula vulgaris","Filipendula vulgaris Moench.","Haga",2,NA,NA,NA,0,"Rosaceae","O","white","p",2,NA,"native"
"862","Filipendula vulgaris","Filipendula vulgaris Moench.","Jumkil",1,NA,NA,NA,0,"Rosaceae","O","white","p",2,NA,"native"
"863","Filipendula vulgaris","Filipendula vulgaris Moench.","Ultuna",1,NA,NA,NA,0,"Rosaceae","O","white","p",2,NA,"native"
"864","Filipendula vulgaris","Filipendula vulgaris Moench.","Danmark",2,NA,NA,NA,0,"Rosaceae","O","white","p",2,NA,"native"
"865","Filipendula vulgaris","Filipendula vulgaris Moench.","GamlaUppsala",3,NA,NA,NA,0,"Rosaceae","O","white","p",2,NA,"native"
"866","Filipendula vulgaris","Filipendula vulgaris Moench.","Gottsunda",1,NA,NA,NA,0,"Rosaceae","O","white","p",2,NA,"native"
"867","Filipendula vulgaris","Filipendula vulgaris Moench.","Husby",1,NA,NA,NA,0,"Rosaceae","O","white","p",2,NA,"native"
"868","Fontinalis antipyretica",NA,NA,0,"Frontinalis antipyretica","Haga","6 Rivulus",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"869","Fragaria vesca","Fragaria  vesca L. ","Vaksala",3,NA,NA,NA,0,"Rosaceae","O","white","p",4,"self compatible","native"
"870","Fragaria vesca","Fragaria  vesca L. ","Husby",3,NA,NA,NA,0,"Rosaceae","O","white","p",4,"self compatible","native"
"871","Fragaria vesca","Fragaria  vesca L. ","Danmark",2,NA,NA,NA,0,"Rosaceae","O","white","p",4,"self compatible","native"
"872","Fragaria vesca","Fragaria  vesca L. ","Haga",1,NA,NA,NA,0,"Rosaceae","O","white","p",4,"self compatible","native"
"873","Fragaria vesca","Fragaria  vesca L. ","Jumkil",1,NA,NA,NA,0,"Rosaceae","O","white","p",4,"self compatible","native"
"874","Fragaria vesca","Fragaria  vesca L. ","Ultuna",3,NA,NA,NA,0,"Rosaceae","O","white","p",4,"self compatible","native"
"875","Fragaria vesca","Fragaria  vesca L. ","Gottsunda",2,"Fragaria vesca","Gottsunda","6 Lucus Norrbyensis",1,"Rosaceae","O","white","p",4,"self compatible","native"
"876","Fragaria vesca","Fragaria  vesca L. ","GamlaUppsala",2,NA,NA,NA,0,"Rosaceae","O","white","p",4,"self compatible","native"
"877","Fritillaria meleagris","Fritillaria meleagris","Vaksala",0,NA,NA,NA,0,"Liliaceae","O","purple","p",4,NA,"exotic"
"878","Fritillaria meleagris","Fritillaria meleagris","Haga",0,NA,NA,NA,0,"Liliaceae","O","purple","p",4,NA,"exotic"
"879","Fritillaria meleagris","Fritillaria meleagris","Jumkil",0,NA,NA,NA,0,"Liliaceae","O","purple","p",4,NA,"exotic"
"880","Fritillaria meleagris","Fritillaria meleagris","Husby",0,NA,NA,NA,0,"Liliaceae","O","purple","p",4,NA,"exotic"
"881","Fritillaria meleagris","Fritillaria meleagris","Gottsunda",0,NA,NA,NA,0,"Liliaceae","O","purple","p",4,NA,"exotic"
"882","Fritillaria meleagris","Fritillaria meleagris","Ultuna",0,NA,NA,NA,0,"Liliaceae","O","purple","p",4,NA,"exotic"
"883","Fritillaria meleagris","Fritillaria meleagris","Danmark",1,"Parnassia palustris","Danmark","1 Pratum Regium",1,"Liliaceae","O","purple","p",4,NA,"exotic"
"884","Fritillaria meleagris","Fritillaria meleagris","GamlaUppsala",0,NA,NA,NA,0,"Liliaceae","O","purple","p",4,NA,"exotic"
"885","Fumaria bulbosa",NA,NA,0,"Fumaria bulbosa","Gottsunda","8 Bovilia Pastoris",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"886","Fumaria officinalis","Fumaria officinalis L. ","GamlaUppsala",2,NA,NA,NA,0,"Papaveraceae","T","purple","a",6,NA,"native"
"887","Fumaria officinalis","Fumaria officinalis L. ","Vaksala",2,NA,NA,NA,0,"Papaveraceae","T","purple","a",6,NA,"native"
"888","Fumaria officinalis","Fumaria officinalis L. ","Ultuna",2,NA,NA,NA,0,"Papaveraceae","T","purple","a",6,NA,"native"
"889","Fumaria officinalis","Fumaria officinalis L. ","Danmark",1,NA,NA,NA,0,"Papaveraceae","T","purple","a",6,NA,"native"
"890","Fumaria officinalis","Fumaria officinalis L. ","Gottsunda",1,NA,NA,NA,0,"Papaveraceae","T","purple","a",6,NA,"native"
"891","Fumaria officinalis","Fumaria officinalis L. ","Jumkil",0,NA,NA,NA,0,"Papaveraceae","T","purple","a",6,NA,"native"
"892","Fumaria officinalis","Fumaria officinalis L. ","Husby",2,NA,NA,NA,0,"Papaveraceae","T","purple","a",6,NA,"native"
"893","Fumaria officinalis","Fumaria officinalis L. ","Haga",1,"Fumaria officinalis","Haga","2 Agri Upsalieness",1,"Papaveraceae","T","purple","a",6,NA,"native"
"894","Fumaria vaillantii","Fumaria vaillantii Loisel.","Husby",1,NA,NA,NA,0,"Papaveraceae","T","purple-pink","a",5,NA,"native"
"895","Fumaria vaillantii","Fumaria vaillantii Loisel.","Haga",0,NA,NA,NA,0,"Papaveraceae","T","purple-pink","a",5,NA,"native"
"896","Fumaria vaillantii","Fumaria vaillantii Loisel.","Gottsunda",0,NA,NA,NA,0,"Papaveraceae","T","purple-pink","a",5,NA,"native"
"897","Fumaria vaillantii","Fumaria vaillantii Loisel.","Vaksala",0,NA,NA,NA,0,"Papaveraceae","T","purple-pink","a",5,NA,"native"
"898","Fumaria vaillantii","Fumaria vaillantii Loisel.","Ultuna",0,NA,NA,NA,0,"Papaveraceae","T","purple-pink","a",5,NA,"native"
"899","Fumaria vaillantii","Fumaria vaillantii Loisel.","Jumkil",0,NA,NA,NA,0,"Papaveraceae","T","purple-pink","a",5,NA,"native"
"900","Fumaria vaillantii","Fumaria vaillantii Loisel.","GamlaUppsala",0,NA,NA,NA,0,"Papaveraceae","T","purple-pink","a",5,NA,"native"
"901","Fumaria vaillantii","Fumaria vaillantii Loisel.","Danmark",0,NA,NA,NA,0,"Papaveraceae","T","purple-pink","a",5,NA,"native"
"902","Gagea lutea","Gagea lutea","Husby",0,NA,NA,NA,0,"Liliaceae","O","yellow","p",7,NA,"native"
"903","Gagea lutea","Gagea lutea","Vaksala",0,NA,NA,NA,0,"Liliaceae","O","yellow","p",7,NA,"native"
"904","Gagea lutea","Gagea lutea","Gottsunda",1,NA,NA,NA,0,"Liliaceae","O","yellow","p",7,NA,"native"
"905","Gagea lutea","Gagea lutea","Ultuna",1,NA,NA,NA,0,"Liliaceae","O","yellow","p",7,NA,"native"
"906","Gagea lutea","Gagea lutea","Haga",0,NA,NA,NA,0,"Liliaceae","O","yellow","p",7,NA,"native"
"907","Gagea lutea","Gagea lutea","Danmark",0,NA,NA,NA,0,"Liliaceae","O","yellow","p",7,NA,"native"
"908","Gagea lutea","Gagea lutea","GamlaUppsala",0,NA,NA,NA,0,"Liliaceae","O","yellow","p",7,NA,"native"
"909","Gagea lutea","Gagea lutea","Jumkil",0,NA,NA,NA,0,"Liliaceae","O","yellow","p",7,NA,"native"
"910","Gagea minima","Gagea minima","Danmark",1,NA,NA,NA,0,"Liliaceae","O","yellow","",NA,NA,"native"
"911","Gagea minima","Gagea minima","Ultuna",1,NA,NA,NA,0,"Liliaceae","O","yellow","",NA,NA,"native"
"912","Gagea minima","Gagea minima","GamlaUppsala",0,NA,NA,NA,0,"Liliaceae","O","yellow","",NA,NA,"native"
"913","Gagea minima","Gagea minima","Vaksala",0,NA,NA,NA,0,"Liliaceae","O","yellow","",NA,NA,"native"
"914","Gagea minima","Gagea minima","Jumkil",0,NA,NA,NA,0,"Liliaceae","O","yellow","",NA,NA,"native"
"915","Gagea minima","Gagea minima","Husby",0,NA,NA,NA,0,"Liliaceae","O","yellow","",NA,NA,"native"
"916","Gagea minima","Gagea minima","Gottsunda",1,NA,NA,NA,0,"Liliaceae","O","yellow","",NA,NA,"native"
"917","Gagea minima","Gagea minima","Haga",1,NA,NA,NA,0,"Liliaceae","O","yellow","",NA,NA,"native"
"918","Galeopsis ladanum","Galeopsis ladanum","Haga",0,NA,NA,NA,0,"Laminaceae","T","purple-pink","",NA,NA,"native"
"919","Galeopsis ladanum","Galeopsis ladanum","GamlaUppsala",0,NA,NA,NA,0,"Laminaceae","T","purple-pink","",NA,NA,"native"
"920","Galeopsis ladanum","Galeopsis ladanum","Gottsunda",0,NA,NA,NA,0,"Laminaceae","T","purple-pink","",NA,NA,"native"
"921","Galeopsis ladanum","Galeopsis ladanum","Danmark",0,NA,NA,NA,0,"Laminaceae","T","purple-pink","",NA,NA,"native"
"922","Galeopsis ladanum","Galeopsis ladanum","Vaksala",0,NA,NA,NA,0,"Laminaceae","T","purple-pink","",NA,NA,"native"
"923","Galeopsis ladanum","Galeopsis ladanum","Jumkil",0,NA,NA,NA,0,"Laminaceae","T","purple-pink","",NA,NA,"native"
"924","Galeopsis ladanum","Galeopsis ladanum","Husby",0,NA,NA,NA,0,"Laminaceae","T","purple-pink","",NA,NA,"native"
"925","Galeopsis ladanum","Galeopsis ladanum","Ultuna",1,"Galeopfis Ladanum","Ultuna","3 Lupuleta",1,"Laminaceae","T","purple-pink","",NA,NA,"native"
"926","Galeopsis speciosa","Galeopsis speciosa","Haga",2,NA,NA,NA,0,"Laminaceae","T","","a",7,NA,"native"
"927","Galeopsis speciosa","Galeopsis speciosa","GamlaUppsala",1,NA,NA,NA,0,"Laminaceae","T","","a",7,NA,"native"
"928","Galeopsis speciosa","Galeopsis speciosa","Ultuna",0,NA,NA,NA,0,"Laminaceae","T","","a",7,NA,"native"
"929","Galeopsis speciosa","Galeopsis speciosa","Jumkil",0,NA,NA,NA,0,"Laminaceae","T","","a",7,NA,"native"
"930","Galeopsis speciosa","Galeopsis speciosa","Husby",0,NA,NA,NA,0,"Laminaceae","T","","a",7,NA,"native"
"931","Galeopsis speciosa","Galeopsis speciosa","Gottsunda",0,NA,NA,NA,0,"Laminaceae","T","","a",7,NA,"native"
"932","Galeopsis speciosa","Galeopsis speciosa","Danmark",0,NA,NA,NA,0,"Laminaceae","T","","a",7,NA,"native"
"933","Galeopsis speciosa","Galeopsis speciosa","Vaksala",1,NA,NA,NA,0,"Laminaceae","T","","a",7,NA,"native"
"934","Galeopsis tetrahit","Galeopsis tetrahit L.","GamlaUppsala",1,NA,NA,NA,0,"Laminaceae","T","","a",6,NA,"not_in_fe"
"935","Galeopsis tetrahit","Galeopsis tetrahit L.","Husby",0,NA,NA,NA,0,"Laminaceae","T","","a",6,NA,"not_in_fe"
"936","Galeopsis tetrahit","Galeopsis tetrahit L.","Danmark",0,NA,NA,NA,0,"Laminaceae","T","","a",6,NA,"not_in_fe"
"937","Galeopsis tetrahit","Galeopsis tetrahit L.","Vaksala",0,NA,NA,NA,0,"Laminaceae","T","","a",6,NA,"not_in_fe"
"938","Galeopsis tetrahit","Galeopsis tetrahit L.","Haga",0,NA,NA,NA,0,"Laminaceae","T","","a",6,NA,"not_in_fe"
"939","Galeopsis tetrahit","Galeopsis tetrahit L.","Ultuna",0,"Galeopsis Tetrahit","Ultuna","3 Lupuleta",1,"Laminaceae","T","","a",6,NA,"not_in_fe"
"940","Galeopsis tetrahit","Galeopsis tetrahit L.","Jumkil",2,NA,NA,NA,0,"Laminaceae","T","","a",6,NA,"not_in_fe"
"941","Galeopsis tetrahit","Galeopsis tetrahit L.","Gottsunda",0,NA,NA,NA,0,"Laminaceae","T","","a",6,NA,"not_in_fe"
"942","Galium album","Galium album Mill.","Haga",3,NA,NA,NA,0,"Rubiaceae","O","white","",NA,NA,"not_in_fe"
"943","Galium album","Galium album Mill.","Gottsunda",2,NA,NA,NA,0,"Rubiaceae","O","white","",NA,NA,"not_in_fe"
"944","Galium album","Galium album Mill.","Vaksala",3,NA,NA,NA,0,"Rubiaceae","O","white","",NA,NA,"not_in_fe"
"945","Galium album","Galium album Mill.","Jumkil",2,NA,NA,NA,0,"Rubiaceae","O","white","",NA,NA,"not_in_fe"
"946","Galium album","Galium album Mill.","Husby",3,NA,NA,NA,0,"Rubiaceae","O","white","",NA,NA,"not_in_fe"
"947","Galium album","Galium album Mill.","Danmark",3,NA,NA,NA,0,"Rubiaceae","O","white","",NA,NA,"not_in_fe"
"948","Galium album","Galium album Mill.","Ultuna",3,NA,NA,NA,0,"Rubiaceae","O","white","",NA,NA,"not_in_fe"
"949","Galium album","Galium album Mill.","GamlaUppsala",3,NA,NA,NA,0,"Rubiaceae","O","white","",NA,NA,"not_in_fe"
"950","Galium aparine",NA,NA,0,"Galium Aparine","Ultuna","3 Lupuleta",1,"Rubiaceae","O","white","a",8,NA,"native"
"951","Galium boreale","Galium boreale L.","Jumkil",3,NA,NA,NA,0,"Rubiaceae","O","white","p",3,NA,"native"
"952","Galium boreale","Galium boreale L.","GamlaUppsala",3,NA,NA,NA,0,"Rubiaceae","O","white","p",3,NA,"native"
"953","Galium boreale","Galium boreale L.","Ultuna",2,NA,NA,NA,0,"Rubiaceae","O","white","p",3,NA,"native"
"954","Galium boreale","Galium boreale L.","Vaksala",3,NA,NA,NA,0,"Rubiaceae","O","white","p",3,NA,"native"
"955","Galium boreale","Galium boreale L.","Danmark",3,NA,NA,NA,0,"Rubiaceae","O","white","p",3,NA,"native"
"956","Galium boreale","Galium boreale L.","Gottsunda",3,NA,NA,NA,0,"Rubiaceae","O","white","p",3,NA,"native"
"957","Galium boreale","Galium boreale L.","Husby",3,NA,NA,NA,0,"Rubiaceae","O","white","p",3,NA,"native"
"958","Galium boreale","Galium boreale L.","Haga",3,NA,NA,NA,0,"Rubiaceae","O","white","p",3,NA,"native"
"959","Galium mollugo",NA,NA,0,"Galium Mollugo","Gottsunda","4 Pratum Norrbyense",1,"Rubiaceae","O","white","p",4,"self compatible","not_in_fe"
"960","Galium palustre","Galium palustre","Ultuna",1,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"961","Galium palustre","Galium palustre","Jumkil",1,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"962","Galium palustre","Galium palustre","Gottsunda",0,"Galium palustre","Gottsunda","3 Palus Norrbyensis",1,"Rubiaceae","O","white","p",4,NA,"native"
"963","Galium palustre","Galium palustre","GamlaUppsala",2,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"964","Galium palustre","Galium palustre","Haga",1,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"965","Galium palustre","Galium palustre","Husby",1,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"966","Galium palustre","Galium palustre","Vaksala",0,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"967","Galium palustre","Galium palustre","Danmark",1,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"968","Galium uliginosum","Galium uliginosum L. ","Jumkil",0,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"969","Galium uliginosum","Galium uliginosum L. ","Husby",0,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"970","Galium uliginosum","Galium uliginosum L. ","Vaksala",0,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"971","Galium uliginosum","Galium uliginosum L. ","Ultuna",1,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"972","Galium uliginosum","Galium uliginosum L. ","Gottsunda",0,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"973","Galium uliginosum","Galium uliginosum L. ","GamlaUppsala",2,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"974","Galium uliginosum","Galium uliginosum L. ","Danmark",0,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"975","Galium uliginosum","Galium uliginosum L. ","Haga",0,NA,NA,NA,0,"Rubiaceae","O","white","p",4,NA,"native"
"976","Galium verum","Galium verum L.","GamlaUppsala",3,NA,NA,NA,0,"Rubiaceae","O","yellow","p",2,NA,"not_in_fe"
"977","Galium verum","Galium verum L.","Vaksala",2,NA,NA,NA,0,"Rubiaceae","O","yellow","p",2,NA,"not_in_fe"
"978","Galium verum","Galium verum L.","Jumkil",2,NA,NA,NA,0,"Rubiaceae","O","yellow","p",2,NA,"not_in_fe"
"979","Galium verum","Galium verum L.","Danmark",2,NA,NA,NA,0,"Rubiaceae","O","yellow","p",2,NA,"not_in_fe"
"980","Galium verum","Galium verum L.","Haga",3,NA,NA,NA,0,"Rubiaceae","O","yellow","p",2,NA,"not_in_fe"
"981","Galium verum","Galium verum L.","Ultuna",2,NA,NA,NA,0,"Rubiaceae","O","yellow","p",2,NA,"not_in_fe"
"982","Galium verum","Galium verum L.","Husby",1,NA,NA,NA,0,"Rubiaceae","O","yellow","p",2,NA,"not_in_fe"
"983","Galium verum","Galium verum L.","Gottsunda",2,"Galium verum","Gottsunda","4 Pratum Norrbyense",1,"Rubiaceae","O","yellow","p",2,NA,"not_in_fe"
"984","Gentiana amarella",NA,NA,0,"Getiana amarella","Haga","5 Prataflogstadensia & Hagensia",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"985","Geranium cicutarium",NA,NA,0,"Geranium cicutarium","Jumkil","3 Plateae Urbis Upsaliensis",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"986","Geranium lucidum","Geranium lucidum","Ultuna",1,NA,NA,NA,0,"Geraniaceae","T","pink","a",6,NA,"native"
"987","Geranium lucidum","Geranium lucidum","Haga",0,NA,NA,NA,0,"Geraniaceae","T","pink","a",6,NA,"native"
"988","Geranium lucidum","Geranium lucidum","Jumkil",0,NA,NA,NA,0,"Geraniaceae","T","pink","a",6,NA,"native"
"989","Geranium lucidum","Geranium lucidum","GamlaUppsala",0,NA,NA,NA,0,"Geraniaceae","T","pink","a",6,NA,"native"
"990","Geranium lucidum","Geranium lucidum","Vaksala",0,NA,NA,NA,0,"Geraniaceae","T","pink","a",6,NA,"native"
"991","Geranium lucidum","Geranium lucidum","Gottsunda",0,NA,NA,NA,0,"Geraniaceae","T","pink","a",6,NA,"native"
"992","Geranium lucidum","Geranium lucidum","Danmark",0,NA,NA,NA,0,"Geraniaceae","T","pink","a",6,NA,"native"
"993","Geranium lucidum","Geranium lucidum","Husby",1,NA,NA,NA,0,"Geraniaceae","T","pink","a",6,NA,"native"
"994","Geranium pratense","Geranium pratense","Jumkil",0,NA,NA,NA,0,"Geraniaceae","O","purple","p",7,NA,"native"
"995","Geranium pratense","Geranium pratense","Gottsunda",1,"Geranium pratense","Gottsunda","8 Bovilia Pastoris",1,"Geraniaceae","O","purple","p",7,NA,"native"
"996","Geranium pratense","Geranium pratense","GamlaUppsala",0,NA,NA,NA,0,"Geraniaceae","O","purple","p",7,NA,"native"
"997","Geranium pratense","Geranium pratense","Ultuna",0,NA,NA,NA,0,"Geraniaceae","O","purple","p",7,NA,"native"
"998","Geranium pratense","Geranium pratense","Danmark",0,NA,NA,NA,0,"Geraniaceae","O","purple","p",7,NA,"native"
"999","Geranium pratense","Geranium pratense","Vaksala",0,NA,NA,NA,0,"Geraniaceae","O","purple","p",7,NA,"native"
"1000","Geranium pratense","Geranium pratense","Husby",0,NA,NA,NA,0,"Geraniaceae","O","purple","p",7,NA,"native"
"1001","Geranium pratense","Geranium pratense","Haga",0,NA,NA,NA,0,"Geraniaceae","O","purple","p",7,NA,"native"
"1002","Geranium pusillum","Geranium pusillum","Haga",2,NA,NA,NA,0,"Geraniaceae","O","purple-pink","a",7,NA,"native"
"1003","Geranium pusillum","Geranium pusillum","Ultuna",1,NA,NA,NA,0,"Geraniaceae","O","purple-pink","a",7,NA,"native"
"1004","Geranium pusillum","Geranium pusillum","Danmark",0,NA,NA,NA,0,"Geraniaceae","O","purple-pink","a",7,NA,"native"
"1005","Geranium pusillum","Geranium pusillum","Gottsunda",0,NA,NA,NA,0,"Geraniaceae","O","purple-pink","a",7,NA,"native"
"1006","Geranium pusillum","Geranium pusillum","Vaksala",0,NA,NA,NA,0,"Geraniaceae","O","purple-pink","a",7,NA,"native"
"1007","Geranium pusillum","Geranium pusillum","GamlaUppsala",0,NA,NA,NA,0,"Geraniaceae","O","purple-pink","a",7,NA,"native"
"1008","Geranium pusillum","Geranium pusillum","Husby",1,NA,NA,NA,0,"Geraniaceae","O","purple-pink","a",7,NA,"native"
"1009","Geranium pusillum","Geranium pusillum","Jumkil",0,NA,NA,NA,0,"Geraniaceae","O","purple-pink","a",7,NA,"native"
"1010","Geranium robertianum","Geranium robertianum L.","Danmark",3,NA,NA,NA,0,"Geraniaceae","T","","b",6,NA,"native"
"1011","Geranium robertianum","Geranium robertianum L.","Ultuna",3,NA,NA,NA,0,"Geraniaceae","T","","b",6,NA,"native"
"1012","Geranium robertianum","Geranium robertianum L.","Husby",1,NA,NA,NA,0,"Geraniaceae","T","","b",6,NA,"native"
"1013","Geranium robertianum","Geranium robertianum L.","Jumkil",1,NA,NA,NA,0,"Geraniaceae","T","","b",6,NA,"native"
"1014","Geranium robertianum","Geranium robertianum L.","GamlaUppsala",2,NA,NA,NA,0,"Geraniaceae","T","","b",6,NA,"native"
"1015","Geranium robertianum","Geranium robertianum L.","Vaksala",1,NA,NA,NA,0,"Geraniaceae","T","","b",6,NA,"native"
"1016","Geranium robertianum","Geranium robertianum L.","Gottsunda",3,"Geranium robertianum","Gottsunda","10 Rupes Gottsundenses",1,"Geraniaceae","T","","b",6,NA,"native"
"1017","Geranium robertianum","Geranium robertianum L.","Haga",1,NA,NA,NA,0,"Geraniaceae","T","","b",6,NA,"native"
"1018","Geranium sanguineum","Geranium sanguineum","Husby",1,NA,NA,NA,0,"Geraniaceae","O","purple-pink","p",3,NA,"native"
"1019","Geranium sanguineum","Geranium sanguineum","Vaksala",1,NA,NA,NA,0,"Geraniaceae","O","purple-pink","p",3,NA,"native"
"1020","Geranium sanguineum","Geranium sanguineum","GamlaUppsala",0,NA,NA,NA,0,"Geraniaceae","O","purple-pink","p",3,NA,"native"
