"","species","matched_name2","synonym_names","final_names"
"139","Fumaria bulbosa","Fumaria bulbosa","Fumaria bulbosa",NA
"140","Geranium pratense","Geranium pratense","Geranium pratense","Geranium pratense"
"141","Geranium robertianum","Geranium robertianum","Geranium robertianum","Geranium robertianum"
"142","Geranium sanguineum","Geranium sanguineum","Geranium sanguineum","Geranium sanguineum"
"143","Geum urbanum","Geum urbanum","Geum urbanum","Geum urbanum"
"144","Glechoma hederacea","Glechoma hederacea","Glechoma hederacea","Glechoma hederacea"
"145","Gnaphalium montanum","Gnaphalium montanum","Gnaphalium montanum",NA
"146","Heracleum Sphondylium","Heracleum sphondylium","Heracleum sphondylium","Heracleum sphondylium"
"147","Hieracium murorum","Hieracium murorum","Hieracium murorum","Hieracium murorum"
"148","Hieracium praemorsum","Hieracium praemorsum","Hieracium praemorsum",NA
"149","Hieracium umbellatum","Hieracium umbellatum","Hieracium umbellatum","Hieracium umbellatum"
"150","Hypericum perforatum","Hypericum perforatum","Hypericum perforatum","Hypericum perforatum"
"151","Hypnum complanatum","Hypnum complanatum","Hypnum complanatum",NA
"152","Hypnum dendroides","Hypnum dendroides","Hypnum dendroides",NA
"153","Hypnum jericeum","Hypnum sericeum","Hypnum sericeum",NA
"154","Hypochaeris maculata","Hypochaeris maculata","Hypochaeris maculata","Hypochaeris maculata"
"155","Jungermannia resupinata","Jungermannia resupinata","Jungermannia resupinata",NA
"156","Laserpitium latifolium","Laserpitium latifolium","Laserpitium latifolium","Laserpitium latifolium"
"157","Lathraea Squamaria","Lathraea squamaria","Lathraea squamaria","Lathraea squamaria"
"158","Leontodon taraxacum","Leontodon taraxacum","Molinia caerulea","Molinia caerulea"
"159","Marchantia polymorpha","Marchantia polymorpha","Marchantia polymorpha","Marchantia polymorpha"
"160","Marchantiam hemisphaericam","Marchantia hemisphaerica","Marchantia hemisphaerica",NA
"161","Mentha aquatica","Mentha aquatica","Mentha aquatica","Mentha aquatica"
"162","Milium effusum","Milium effusum","Milium effusum","Milium effusum"
"163","Mnium hygrometricum","Mnium hygrometricum","Mnium hygrometricum",NA
"164","Mnium Jungermanniam","Mnium jungermannia","Mnium jungermannia",NA
"165","Mnium pellucidum","Mnium pellucidum","Mnium pellucidum",NA
"166","Mnium pyriforme","Mnium pyriforme","Mnium pyriforme",NA
"167","Mnium serpyllifolium","Mnium serpyllifolium","Mnium serpyllifolium",NA
"168","Neottia nidus-avis","Ophrys","Ophrys",NA
"169","Origanum vulgare","Origanum vulgare","Origanum vulgare","Origanum vulgare"
"170","Orobus niger","Orobus niger","Orobus niger",NA
"171","Orobus tuberosus","Orobus tuberosus","Orobus tuberosus",NA
"172","Orobus vernus","Orobus vernus","Orobus vernus",NA
"173","Paris quadrifolia","Paris quadrifolia","Paris quadrifolia","Paris quadrifolia"
"174","Polypodium fragile","Polypodium fragile","Polypodium fragile",NA
"175","Polypodium Phegopteris*","Polypodium phegopteris","Polypodium phegopteris",NA
"176","Polypodium vulgare","Polypodium vulgare","Molinia caerulea","Molinia caerulea"
"177","Polytricum commune","Polytrichum commune","Polytrichum commune","Polytrichum commune"
"178","Prenanthes muralis","Prenanthes muralis","Prenanthes muralis",NA
"179","Primula veris","Primula veris","Primula veris","Primula veris"
"180","Ficaria verna",NA,NA,NA
"181","Ranunculus auricormus","Ranunculus auricomus","Ranunculus auricomus","Ranunculus auricomus"
"182","Rubus idaeus","Rubus idaeus","Rubus idaeus","Rubus idaeus"
"183","Rubus saxatilis","Rubus saxatilis","Rubus saxatilis","Rubus saxatilis"
"184","Salix capraea","Salix caprea","Salix caprea","Salix caprea"
"185","Scrophularia nodosa","Scrophularia nodosa","Scrophularia nodosa","Scrophularia nodosa"
"186","Senecio Jacobaea","Senecio jacobaea","Molinia caerulea","Molinia caerulea"
"187","Stachys sylvatica","Stachys sylvatica","Stachys sylvatica","Stachys sylvatica"
"188","Thymus Acinos","Thymus acinos","Thymus acinos",NA
"189","Tilia europaea","Tilia europaea","Molinia caerulea","Molinia caerulea"
"190","Trifolium agrarium","Trifolium agrarium","Molinia caerulea","Molinia caerulea"
"191","Turritis glabra","Turritis glabra","Turritis glabra","Turritis glabra"
"192","Turritis hirsuta","Turritis hirsuta","Turritis hirsuta",NA
"193","Ulmus campestris","Ulmus campestris","Molinia caerulea","Molinia caerulea"
"194","Verbascum nigrum","Verbascum nigrum","Verbascum nigrum","Verbascum nigrum"
"195","Verbascum Thapsus","Verbascum thapsus","Verbascum thapsus","Verbascum thapsus"
"196","Vicia sylvatica","Vicia sylvatica","Vicia sylvatica","Vicia sylvatica"
"197","Viola canina-","Viola canina","Viola canina","Viola canina"
"198","Viola hirta","Viola hirta","Viola hirta","Viola hirta"
"199","Viola mirabilis","Viola mirabilis","Viola mirabilis","Viola mirabilis"
"200","Viola palustris","Viola palustris","Viola palustris","Viola palustris"
"201",NA,"Asperula tinctoria","Galium tinctorium","Galium tinctorium"
"202","Adoxa Moscatellina","Adoxa moscatellina","Adoxa moscatellina",NA
"203","Agrostis arundinacea","Agrostis arundinacea","Galium tinctorium","Galium tinctorium"
"204","Alisma Plantago","Alisma plantago","Alisma plantago",NA
"205","Alsine media","Alsine media","Galium tinctorium","Galium tinctorium"
"206","Androsace septentrionalis","Androsace septentrionalis","Androsace septentrionalis","Androsace septentrionalis"
"207","Anemone Pulsatilla","Anemone pulsatilla","Anemone pulsatilla","Anemone pulsatilla"
"208","Arctium Lappa","Arctium lappa","Arctium lappa","Arctium lappa"
"209","Arenaria rubra","Arenaria rubra","Arenaria rubra",NA
"210","Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia"
"211","Artemisia campestris","Artemisia campestris","Artemisia campestris","Artemisia campestris"
"212","Asperugo procumbens","Asperugo procumbens","Asperugo procumbens","Asperugo procumbens"
"213","Asperula tinctoria","Hypericum hirsutum","Hypericum hirsutum","Hypericum hirsutum"
"214","Atriplex patula","Atriplex patula","Atriplex patula","Atriplex patula"
"215","Berberis vulgaris","Berberis vulgaris","Berberis vulgaris","Berberis vulgaris"
"216","Bryum apocarpum","Bryum apocarpum","Bryum apocarpum",NA
"217","Bryum extinctorium","Bryum extinctorium","Bryum extinctorium",NA
"218","Bryum flexuosum","Bryum flexuosum","Bryum flexuosum",NA
"219","Bryum heteromallum","Bryum heteromallum","Bryum heteromallum",NA
"220","Bryum pomiforme","Bryum pomiforme","Bryum pomiforme",NA
"221","Bryum scoparium","Bryum scoparium","Bryum scoparium",NA
"222","Bryum truncatulum","Bryum truncatulum","Bryum truncatulum",NA
"223","Bryum undulatum","Bryum undulatum","Bryum undulatum",NA
"224","Callitriche palustris","Callitriche palustris","Callitriche palustris","Callitriche palustris"
"225","Carlina vulgaris","Carlina vulgaris","Carlina vulgaris","Carlina vulgaris"
"226","Cerastium pentandrum","Cerastium pentandrum","Cerastium pentandrum",NA
"227","Chara vulqaris","Chara vulgaris","Chara vulgaris","Chara vulgaris"
"228","Chelidonium majus","Chelidonium majus","Chelidonium majus","Chelidonium majus"
"229","Conserva rivularis","Conferva rivularis","Conferva rivularis",NA
"230","Cuscuta europaea","Cuscuta europaea","Cuscuta europaea","Cuscuta europaea"
"231","Festua ovina","Festuca ovina","Festuca ovina","Festuca ovina"
"232","Galeopfis Ladanum","Galeopsis ladanum","Galeopsis ladanum","Galeopsis ladanum"
"233","Galeopsis Tetrahit","Galeopsis tetrahit","Galeopsis tetrahit","Galeopsis tetrahit"
"234","Galium Aparine","Galium aparine","Galium aparine","Galium aparine"
"235","Gnaphalium dioicum","Gnaphalium dioicum","Galium tinctorium","Galium tinctorium"
"236","Gnaphalium uliginosum","Gnaphalium uliginosum","Gnaphalium uliginosum","Gnaphalium uliginosum"
"237","Herniaria glabra","Herniaria glabra","Herniaria glabra","Herniaria glabra"
"238","Hieracium Pilosella","Hieracium pilosella","Hieracium pilosella","Hieracium pilosella"
"239","Hippuris vulgaris","Hippuris vulgaris","Hippuris vulgaris","Hippuris vulgaris"
"240","Hydrocharis Morsus ranae","Hydrocharis morsus ranae","Hydrocharis morsus ranae",NA
"241","Hypericum hirsutum","Lobelia dortmanna","Lobelia dortmanna","Lobelia dortmanna"
"242","Hypnum abietinum","Hypnum abietinum","Galium tinctorium","Galium tinctorium"
"243","Hypnum aduncum","Hypnum aduncum","Hypnum aduncum",NA
"244","Hypnum Bryoides","Hypnum bryoides","Hypnum bryoides",NA
"245","Hypnum Crista castrenfis","Hypnum crista","Galium tinctorium","Galium tinctorium"
"246","Hypnum cupressiforme","Hypnum cupressiforme","Hypnum cupressiforme","Hypnum cupressiforme"
"247","Hypnum curtipendulum","Hypnum curtipendulum","Hypnum curtipendulum",NA
"248","Hypnum parietinum","Hypnum parietinum","Hypnum parietinum",NA
"249","Hypnum proliferum","Hypnum proliferum","Hypnum proliferum",NA
"250","Hypnum purum","Hypnum purum","Hypnum purum",NA
"251","Hypnum taxifolium","Hypnum taxifolium","Hypnum taxifolium",NA
"252","Hypnum triquetrum","Hypnum triquetrum","Hypnum triquetrum",NA
"253","Hypnum velutinum","Hypnum velutinum","Hypnum velutinum",NA
"254","Juncus pilosus","Juncus pilosus","Juncus pilosus",NA
"255","Jungermannia ciliaris","Jungermannia ciliaris","Jungermannia ciliaris",NA
"256","Juniperus communis","Juniperus communis","Juniperus communis","Juniperus communis"
"257","Lamium album","Lamium album","Lamium album","Lamium album"
"258","Lapsana communis","Lapsana communis","Lapsana communis","Lapsana communis"
"259","Lemna polyrrhiza","Lemna polyrrhiza","Galium tinctorium","Galium tinctorium"
"260","Lichen caninus","Lichen caninus","Lichen caninus",NA
"261","Lichen hirtus","Lichen hirtus","Lichen hirtus",NA
"262","Lichen juniperinus","Lichen juniperinus","Lichen juniperinus",NA
"263","Lepraria nivalis","Lichen","Lichen",NA
"264","Lichen plicatus","Lichen plicatus","Lichen plicatus",NA
"265","Lichen tartareus","Lichen tartareus","Lichen tartareus",NA
"266","Lichen Upsaliensis","Lichen upsaliensis","Lichen upsaliensis",NA
"267","Lichen venosus","Lichen venosus","Lichen venosus",NA
"268","Lobelia Dortmanna","Sisymbrium aquaticum","Sisymbrium aquaticum",NA
"269","Lycoperdon stellatum","Lycoperdon stellatum","Lycoperdon stellatum",NA
"270","Lycopodium annotinum","Lycopodium annotinum","Lycopodium annotinum","Lycopodium annotinum"
"271","Mnium fontanum","Mnium fontanum","Mnium fontanum",NA
"272","Mnium palustre","Mnium palustre","Mnium palustre",NA
"273","Myosurus minimus","Myosurus minimus","Myosurus minimus","Myosurus minimus"
"274","Myriophyllum verticillatum","Myriophyllum verticillatum","Myriophyllum verticillatum","Myriophyllum verticillatum"
"275","Ornithogalum luteum","Ornithogalum luteum","Ornithogalum luteum",NA
"276","Ornithogalum minimum","Ornithogalum minimum","Ornithogalum minimum",NA
"277","Osmunda Lunaria","Osmunda lunaria","Osmunda lunaria",NA
"278","Oxalis Acetosella","Oxalis acetosella","Galium tinctorium","Galium tinctorium"
"279","Peziza lentifera","Peziza lentifera","Peziza lentifera",NA
"280","Phlalaris arundinacea","Tragopogon pratense","Tragopogon pratense",NA
"281","Pinus Abies","Pinus abies","Pinus abies",NA
"282","Pinus sylvestris","Pinus sylvestris","Pinus sylvestris","Pinus sylvestris"
"283","Polygonum amphibium","Polygonum amphibium","Galium tinctorium","Galium tinctorium"
"284","Polypodium Dryopteris","Polypodium dryopteris","Polypodium dryopteris",NA
"285","Potentilla vernalis","Potentilla vernalis","Potentilla vernalis",NA
"286","Pteris aquilina","Pteris aquilina","Galium tinctorium","Galium tinctorium"
"287","Pyrola secunda","Pyrola secunda","Galium tinctorium","Galium tinctorium"
"288","Pyrola uniflora","Pyrola uniflora","Galium tinctorium","Galium tinctorium"
"289","Ranunculus aquaticus","Ranunculus aquaticus","Ranunculus aquaticus",NA
"290","Ribes uva-crispa","Ribes","Ribes",NA
"291","Rumex aquaticus","Rumex aquaticus","Rumex aquaticus","Rumex aquaticus"
"292","Sagina procumbens","Sagina procumbens","Sagina procumbens","Sagina procumbens"
"293","Scleranthus annuus","Scleranthus annuus","Scleranthus annuus","Scleranthus annuus"
"294","Sisymbrium aquaticum","Phalaris arundinacea","Phalaris arundinacea","Phalaris arundinacea"
"295","Stratiotes Aloides","Stratiotes aloides","Stratiotes aloides","Stratiotes aloides"
"296","Tragopogon pratense","Tragopogon pratense","Tragopogon pratense",NA
"297","Tussilago farfara",NA,NA,NA
"298","Ulva intestinalis","Ulva intestinalis","Galium tinctorium","Galium tinctorium"
"299","Veronica Beccabunga","Veronica beccabunga","Veronica beccabunga","Veronica beccabunga"
"300","Zannichellia palustris","Zannichellia palustris","Zannichellia palustris","Zannichellia palustris"
"301",NA,"Veronica anagallis","Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"302","Achillea Millefolium","Achillea millefolium","Achillea millefolium","Achillea millefolium"
"303","Agrostema Githago","Agrostemma githago","Agrostemma githago","Agrostemma githago"
"304","Agrostis rubra","Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera"
"305","Agrostis Spica venti","Agrotis spina","Agrotis spina",NA
"306","Agrostis stolonifera","Poa annua","Poa annua","Poa annua"
"307","Aira flexuosa","Aira flexuosa","Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"308","Anchusa officinalis","Anchusa officinalis","Anchusa officinalis","Anchusa officinalis"
"309","Anthemis arvensis","Anthemis arvensis","Anthemis arvensis","Anthemis arvensis"
"310","Artemisia vulgaris","Artemisia vulgaris","Artemisia vulgaris","Artemisia vulgaris"
"311","Arundo phragmites","Arundo phragmites","Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"312","Bromus arvensis","Bromus arvensis","Bromus arvensis","Bromus arvensis"
"313","Bromus secalinus","Bromus secalinus","Bromus secalinus","Bromus secalinus"
"314","Bromus tectorum","Bromus tectorum","Bromus tectorum","Bromus tectorum"
"315","Bryum rurale","Bryum murale","Bryum murale",NA
"316","Cardamine amara","Cardamine amara","Cardamine amara","Cardamine amara"
"317","Carduus crispus","Carduus crispus","Carduus crispus","Carduus crispus"
"318","Carex capillaris","Equisetum arvense","Equisetum arvense","Equisetum arvense"
"319","Centaurea Cyanus","Centaurea cyanus","Centaurea cyanus","Centaurea cyanus"
"320","Chenopodium album","Chenopodium album","Chenopodium album","Chenopodium album"
"321","Conium maculatum","Conium maculatum","Conium maculatum","Conium maculatum"
"322","Convolvulus arvensis","Convolvulus arvensis","Convolvulus arvensis","Convolvulus arvensis"
"323","Polygonum convolvulus","Convolvulus","Convolvulus",NA
"324","Sorbus aria",NA,NA,NA
"325","Crepis tectorum","Crepis tectorum","Crepis tectorum","Crepis tectorum"
"326","Cynosurus glomeratus","Cynosurus glomeratus","Cynosurus glomeratus",NA
"327","Delphinium Consolida","Delphinium consolida","Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"328","Equisetum arvense","Festuca fluitans","Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"329","Equisetum fluviatile","Equisetum palustre","Equisetum palustre","Equisetum palustre"
"330","Equisetum palustre","Scirpus lacustris","Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"331","Erica vulgaris","Erica vulgaris","Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"332","Ervum hirsutum","Ervum hirsutum","Ervum hirsutum",NA
"333","Erysimum Barbaraea","Carex capillaris","Carex capillaris","Carex capillaris"
"334","Erysimum Cheiranthoides","Erysimum cheiranthoides","Erysimum cheiranthoides","Erysimum cheiranthoides"
"335","Euphrasia Odontites","Euphrasia odontites","Euphrasia odontites",NA
"336","Festuca fluitans","Iris pseudacorus","Iris pseudacorus","Iris pseudacorus"
"337","Festuca rubra","Parnassia palustris","Parnassia palustris","Parnassia palustris"
"338","Fritillaria Meleagris","Primula farinosa","Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"339","Frontinalis antipyretica","Fontinalis antipyretica","Fontinalis antipyretica","Fontinalis antipyretica"
"340","Fumaria officinalis","Fumaria officinalis","Fumaria officinalis","Fumaria officinalis"
"341","Getiana amarella","Gentiana amarella","Veronica anagallis-aquatica","Veronica anagallis-aquatica"
"342","Glaux maritima","Festuca rubra","Festuca rubra","Festuca rubra"
"343","Iris pseudAcorus","Phellandrium aquaticum","Phellandrium aquaticum",NA
"344","Juncus bufonius","Rumex acutus","Rumex acutus",NA
